genes	SRR1278968_counts.txt SRR1278969_counts.txt SRR1278970_counts.txt SRR1278971_counts.txt SRR1278972_counts.txt SRR1278973_counts.txt
CPAR2_103020 1 0 0 0 1 0
CPAR2_103030 0 0 0 0 0 0
CPAR2_103040 0 0 0 0 0 0
CPAR2_103050 0 0 1 4 4 2
CPAR2_103060 434 345 380 85 103 76
CPAR2_103070 2 0 0 4 7 4
CPAR2_103080 0 0 0 2 5 2
CPAR2_103090 0 0 0 0 0 0
CPAR2_103100 0 0 0 0 1 0
CPAR2_103110 0 0 1 2 5 0
CPAR2_103120 11 10 7 74 45 30
CPAR2_103130 33 45 52 48 57 32
CPAR2_103140 1 0 0 0 0 0
CPAR2_103150 0 0 0 0 1 0
CPAR2_103160 0 0 0 10 8 7
CPAR2_103170 0 0 0 0 0 0
CPAR2_103180 0 0 0 0 0 0
CPAR2_103190 0 1 0 1 2 3
CPAR2_103200 110 96 84 632 541 387
CPAR2_103210 162 150 154 107 170 200
CPAR2_103220 0 0 0 0 0 0
CPAR2_103230 31 34 24 100 97 71
CPAR2_103240 0 0 0 0 1 2
CPAR2_103250 1 0 2 16 16 8
CPAR2_103260 0 0 0 0 3 1
CPAR2_103270 0 0 0 0 2 1
CPAR2_103280 0 1 3 2 3 6
CPAR2_103290 2 1 0 0 0 0
CPAR2_103300 0 0 0 0 0 0
CPAR2_103310 0 0 0 0 0 0
CPAR2_103320 0 0 0 0 0 0
CPAR2_103330 0 1 0 0 0 1
CPAR2_103340 0 0 0 0 0 0
CPAR2_103350 0 0 0 0 1 1
CPAR2_103360 0 4 0 1 1 2
CPAR2_103370 10 10 10 9 8 7
CPAR2_103380 1 0 2 1 2 2
CPAR2_103390 16 25 18 0 7 2
CPAR2_103400 7 7 9 8 13 8
CPAR2_103410 0 0 0 2 5 0
CPAR2_103420 1 0 0 1 0 0
CPAR2_103430 0 1 0 1 0 0
CPAR2_103440 0 0 0 0 2 1
CPAR2_103450 0 0 0 1 10 2
CPAR2_103460 1 0 1 0 1 0
CPAR2_103470 12 8 6 23 39 33
CPAR2_103480 0 0 1 0 0 0
CPAR2_103490 0 1 3 8 11 0
CPAR2_103500 0 0 0 0 5 0
CPAR2_103510 0 0 1 2 0 0
CPAR2_103520 2 2 0 7 3 1
CPAR2_103530 0 0 1 0 2 1
CPAR2_103540 5 4 5 15 15 8
CPAR2_103550 0 0 0 20 9 4
CPAR2_103560 0 0 0 0 2 1
CPAR2_103570 0 1 1 1 1 2
CPAR2_103580 0 0 1 1 0 0
CPAR2_103590 0 0 0 0 0 0
CPAR2_103600 152 148 178 393 451 354
CPAR2_103610 0 0 0 3 3 0
CPAR2_103620 0 0 0 0 0 0
CPAR2_103630 11 14 17 52 52 69
CPAR2_103640 0 0 0 0 0 0
CPAR2_103650 0 0 0 0 0 0
CPAR2_103660 0 0 0 0 0 0
CPAR2_103670 0 0 0 0 1 0
CPAR2_103680 0 0 0 1 3 2
CPAR2_103690 14 11 18 243 228 147
CPAR2_103700 0 0 0 5 0 0
CPAR2_103710 0 0 0 0 0 0
CPAR2_103720 0 1 0 1 0 0
CPAR2_103730 15 17 12 5 6 3
CPAR2_103740 0 0 0 0 0 0
CPAR2_103750 0 1 0 1 0 1
CPAR2_103760 17 19 20 72 54 95
CPAR2_103770 3 11 14 11 13 26
CPAR2_103780 1 0 5 6 2 0
CPAR2_103790 0 0 0 1 1 0
CPAR2_103800 0 0 0 0 0 0
CPAR2_103810 1 0 0 0 1 0
CPAR2_103820 0 0 0 0 0 0
CPAR2_103830 56 69 56 235 235 133
CPAR2_103840 0 0 1 2 1 0
CPAR2_103850 0 1 0 0 0 0
CPAR2_103860 9 4 3 124 135 77
CPAR2_103870 3 0 4 12 18 9
CPAR2_103880 0 0 0 0 0 0
CPAR2_103890 0 0 0 0 0 0
CPAR2_103900 0 0 1 1 2 0
CPAR2_103910 0 0 0 0 1 1
CPAR2_103920 68 69 66 66 75 114
CPAR2_103930 15 12 18 49 45 40
CPAR2_103940 0 1 0 0 0 0
CPAR2_103950 2 1 3 3 5 4
CPAR2_103960 1 0 2 2 1 0
CPAR2_103970 0 0 0 0 1 0
CPAR2_103980 0 0 0 1 5 6
CPAR2_103990 0 0 0 5 3 2
CPAR2_104000 2 2 1 23 18 17
CPAR2_104010 0 0 0 0 0 0
CPAR2_104020 1 2 1 1 3 5
CPAR2_104030 0 0 1 0 0 0
CPAR2_104040 0 0 0 0 0 0
CPAR2_104050 0 3 3 3 3 4
CPAR2_104060 1 0 1 6 3 0
CPAR2_104070 0 0 0 1 1 2
CPAR2_104080 0 0 0 0 0 0
CPAR2_104090 0 2 0 1 3 1
CPAR2_104100 0 0 0 4 8 2
CPAR2_104110 0 0 0 2 2 2
CPAR2_104120 2 3 5 8 6 1
CPAR2_104130 0 0 0 0 1 0
CPAR2_104135 0 0 0 0 1 1
CPAR2_104140 0 0 2 3 4 2
CPAR2_104150 0 1 0 9 2 1
CPAR2_104160 0 0 0 0 0 0
CPAR2_104170 0 0 0 2 3 1
CPAR2_104180 0 0 0 0 0 1
CPAR2_104190 0 0 0 2 8 4
CPAR2_104195 0 0 1 0 0 0
CPAR2_104200 0 0 2 5 1 2
CPAR2_104210 2 7 2 27 28 16
CPAR2_104220 3 1 0 3 2 1
CPAR2_104230 98 93 89 29 56 24
CPAR2_104240 0 0 1 2 10 0
CPAR2_104250 0 0 1 0 0 0
CPAR2_104260 2 2 3 8 2 1
CPAR2_104270 0 0 1 1 1 0
CPAR2_104280 0 2 0 5 4 1
CPAR2_104290 0 1 0 0 3 1
CPAR2_104300 1 0 1 1 3 3
CPAR2_104310 9 9 5 0 6 10
CPAR2_104320 0 0 0 0 0 0
CPAR2_104330 1 0 1 1 2 0
CPAR2_104340 0 1 1 6 1 1
CPAR2_104350 0 0 0 0 0 0
CPAR2_104360 0 0 0 0 0 0
CPAR2_104370 0 0 0 0 1 1
CPAR2_104380 61 43 56 31 23 10
CPAR2_104390 6 8 5 6 6 21
CPAR2_104400 0 0 0 0 0 0
CPAR2_104410 0 0 0 0 0 0
CPAR2_104420 0 0 0 2 0 0
CPAR2_104430 0 0 0 1 0 0
CPAR2_104440 0 0 0 0 1 0
CPAR2_104450 0 0 0 0 0 0
CPAR2_104460 1 2 0 0 0 0
CPAR2_104470 0 0 0 0 0 1
CPAR2_104480 1 1 3 0 2 0
CPAR2_104490 1 0 1 0 0 0
CPAR2_104500 3 2 2 2 8 1
CPAR2_104510 0 0 0 0 0 0
CPAR2_104520 1 0 0 1 0 0
CPAR2_104530 0 0 0 0 0 0
CPAR2_104540 0 0 0 0 0 0
CPAR2_104550 0 0 0 0 0 0
CPAR2_104560 1 1 0 1 4 5
CPAR2_104570 2 0 1 3 3 3
CPAR2_104580 0 0 0 3 0 0
CPAR2_104590 0 0 0 1 0 0
CPAR2_104600 0 0 0 1 0 0
CPAR2_104610 6 8 13 7 6 2
CPAR2_104620 1 0 0 7 11 12
CPAR2_104630 0 0 0 0 0 0
CPAR2_104640 0 0 0 0 0 0
CPAR2_104650 0 0 0 0 0 0
CPAR2_104660 0 0 0 0 0 0
CPAR2_104670 16 13 20 26 34 20
CPAR2_104680 0 0 0 1 1 2
CPAR2_104690 0 0 0 0 0 0
CPAR2_104700 0 0 1 2 0 0
CPAR2_104710 0 0 0 0 0 0
CPAR2_104720 0 0 0 1 1 0
CPAR2_104730 3 0 0 1 1 1
CPAR2_104740 0 1 0 0 1 0
CPAR2_104750 0 0 0 0 0 0
CPAR2_104760 0 0 0 0 1 0
CPAR2_104770 0 0 0 3 2 0
CPAR2_104780 0 0 0 0 0 0
CPAR2_104790 0 0 0 0 0 0
CPAR2_104800 0 0 1 0 0 2
CPAR2_104810 1 0 0 0 1 0
CPAR2_104820 4 6 10 95 110 80
CPAR2_104830 1 0 0 2 1 0
CPAR2_104840 0 0 0 0 0 0
CPAR2_104850 0 0 0 0 0 0
CPAR2_104860 10 12 7 14 23 28
CPAR2_104870 0 0 0 0 1 1
CPAR2_104880 0 0 0 0 0 0
CPAR2_104890 3 0 0 1 6 3
CPAR2_104900 3 8 7 67 66 32
CPAR2_104910 13 15 22 0 7 6
CPAR2_104920 0 0 0 0 0 0
CPAR2_104930 0 0 0 2 0 0
CPAR2_104940 0 1 1 1 0 0
CPAR2_104950 0 0 0 0 1 1
CPAR2_104960 0 3 1 0 7 10
CPAR2_104970 0 0 0 0 0 0
CPAR2_104980 0 0 0 1 0 0
CPAR2_104990 0 0 0 0 0 1
CPAR2_105000 0 0 0 1 2 0
CPAR2_105010 0 0 0 0 0 0
CPAR2_105020 0 0 0 2 0 3
CPAR2_105030 0 0 0 0 3 0
CPAR2_105040 0 0 0 2 5 1
CPAR2_105050 0 0 0 0 1 0
CPAR2_105060 0 1 0 1 2 3
CPAR2_105070 0 2 0 12 22 14
CPAR2_105080 6 4 7 42 104 110
CPAR2_105090 0 0 0 0 0 0
CPAR2_105100 6 8 8 52 46 33
CPAR2_105110 0 0 1 2 10 3
CPAR2_105120 0 0 0 1 0 1
CPAR2_105130 2 1 2 0 1 0
